dataset,baseline,candidate,metric,n,baseline_mean,candidate_mean,mean_difference_candidate_minus_baseline,paired_t_statistic,paired_t_p_value,wilcoxon_statistic,wilcoxon_p_value,bootstrap_95ci_low,bootstrap_95ci_high
cems_hls,original,cems_only,semantic_utility_score,80,95.52675516291657,97.32073628026777,1.7939811173511946,2.8525968882306194,0.005532851590987078,311.5,0.0005862898810502802,0.5911059484821033,3.0195594563093473
cems_hls,original,cems_only,detector_retention,80,0.9863136693835258,0.983401245623827,-0.002912423759698868,-0.8851280100622523,0.37877377251814115,91.0,0.24910310970315597,-0.009062704741954803,0.0039421911351382715
cems_hls,original,cems_only,psnr,80,18.78213383131702,19.250410731720653,0.46827690040363307,3.6720374513342766,0.0004358652780454258,585.0,6.900002461443018e-07,0.24929271841343276,0.7446385760033886
cems_hls,original,cems_only,ssim,80,0.8295502615989019,0.8476471035812192,0.01809684198231746,2.141605058328774,0.03530673817443196,756.0,3.413114557172092e-05,0.004615388795436945,0.03683914129696196
cems_hls,original,cems_only,compression_ratio,80,555.7233430864925,546.9952105521476,-8.728132534344933,-15.70374940530871,5.190667362824403e-26,88.0,2.0132699940366843e-13,-9.729057141145836,-7.571118399766287
cems_hls,original,cems_only,bandwidth_saved_percent,80,99.81891662629687,99.8158878206342,-0.0030288056626648794,-17.33443836231003,1.200118598628276e-28,81.0,1.5653249072235065e-13,-0.0033597316886321235,-0.0026722295986882963
cems_hls,original,mixed_domain,semantic_utility_score,80,95.52675516291657,96.42227921829891,0.8955240553823367,1.1013081493024341,0.27410676098978987,586.0,0.05602738938988569,-0.6740594411554196,2.469537441637144
cems_hls,original,mixed_domain,detector_retention,80,0.9863136693835258,0.9623158730566501,-0.023997796326875688,-3.561122912760471,0.0006291277919254264,91.0,1.8047270042739426e-05,-0.03730438720434904,-0.011035530697554365
cems_hls,original,mixed_domain,psnr,80,18.78213383131702,18.886985999008346,0.10485216769132955,0.5446255222401712,0.5875452089078191,923.0,0.0008287426433870322,-0.2843051369501534,0.46571793069428424
cems_hls,original,mixed_domain,ssim,80,0.8295502615989019,0.8196239446166629,-0.00992631698223887,-0.7102790145900352,0.47962264938945187,979.0,0.002109122149049709,-0.03748157092901822,0.015096369966747694
cems_hls,original,mixed_domain,compression_ratio,80,555.7233430864925,542.3672160363734,-13.356127050119133,-14.369953289571331,9.553530529290326e-24,192.0,7.431701784046154e-12,-15.057463758356223,-11.371673699920391
cems_hls,original,mixed_domain,bandwidth_saved_percent,80,99.81891662629687,99.81423535704423,-0.004681269252633058,-18.19713107568138,5.528137839643487e-30,80.0,1.509910709731591e-13,-0.005151055512515343,-0.0041563682191309145
cems_hls,original,mixed_regularized,semantic_utility_score,80,95.52675516291657,96.95483236585089,1.4280772029343347,2.211118702612411,0.02991882588464696,352.0,0.001290968462873453,0.1932474215153881,2.636071737660415
cems_hls,original,mixed_regularized,detector_retention,80,0.9863136693835258,0.9853468023240566,-0.000966867059469223,-0.17159269569671506,0.8641965315103318,165.0,0.5642097153338763,-0.011524650882929562,0.010787465125322334
cems_hls,original,mixed_regularized,psnr,80,18.78213383131702,18.906274007437055,0.12414017612003643,0.9662922957152924,0.3368467921140368,586.0,7.072544752044787e-07,-0.14483694905037925,0.34676057065838645
cems_hls,original,mixed_regularized,ssim,80,0.8295502615989019,0.8152870536889509,-0.01426320790995098,-1.4024958707286668,0.16468478893072688,872.0,0.00033370655412873917,-0.036134379142845896,0.003438555202371244
cems_hls,original,mixed_regularized,compression_ratio,80,555.7233430864925,543.833026971527,-11.890316114965497,-12.466374222298237,2.401555399574909e-20,197.0,8.785388404100226e-12,-13.617543037678427,-9.777995186216971
cems_hls,original,mixed_regularized,bandwidth_saved_percent,80,99.81891662629687,99.8147420442547,-0.00417458204216512,-16.488375717631392,2.6838847045481755e-27,112.0,4.731321559064916e-13,-0.00463454514341791,-0.003638414773903787
sentinel2_patches,original,cems_only,semantic_utility_score,80,78.85167930030687,68.2457716197144,-10.605907680592445,-5.254305501804786,1.2289778437703875e-06,689.0,1.3344468315480074e-05,-14.709869039614725,-6.754877673622026
sentinel2_patches,original,cems_only,detector_retention,80,0.8121688734740019,0.6367296483367682,-0.17543922513723373,-7.760531022403399,2.5484794108647637e-11,291.0,7.932431956560753e-10,-0.22135607841890304,-0.13204222640022642
sentinel2_patches,original,cems_only,psnr,80,23.564386164214078,23.33277937007166,-0.23160679414241753,-1.6301650413742288,0.10704759813742042,1319.0,0.14882832177824706,-0.5109260231264926,0.04491475798322393
sentinel2_patches,original,cems_only,ssim,80,0.8611559022436005,0.8520009709916468,-0.009154931251953612,-4.352001733612174,3.997838107774768e-05,663.0,4.431465474249358e-06,-0.013343429776527195,-0.005083582051847393
sentinel2_patches,original,cems_only,compression_ratio,80,63.951160077779925,63.4241274946535,-0.5270325831264289,-3.568006225289372,0.0006150827913524626,911.0,0.0010775695956735194,-0.8083287110349822,-0.2335763254380542
sentinel2_patches,original,cems_only,bandwidth_saved_percent,80,98.43204772750053,98.4200485089461,-0.011999218554460178,-3.275111282376488,0.0015694564434668148,948.0,0.00201083081473918,-0.019137646229832835,-0.004707631068653664
